iter	Passed	Remaining
408	10840	15664
409	10861	15630
410	10888	15603
411	10904	15562
412	10924	15527
413	10953	15504
414	10972	15466
415	10992	15431
416	11010	15394
417	11033	15362
418	11058	15334
419	11086	15309
420	11104	15272
421	11139	15257
422	11183	15254
423	11200	15216
424	11218	15177
425	11235	15139
426	11251	15098
427	11277	15071
428	11306	15049
429	11334	15025
430	11369	15010
431	11401	14991
432	11439	14979
433	11467	14955
434	11494	14930
435	11534	14920
436	11576	14914
437	11597	14880
438	11618	14847
439	11645	14821
440	11679	14805
441	11702	14774
442	11728	14747
443	11750	14714
444	11789	14703
445	11811	14671
446	11827	14632
447	11846	14596
448	11873	14570
449	11916	14564
450	11940	14534
451	11964	14505
452	11982	14468
453	11997	14428
454	12022	14400
455	12047	14372
456	12070	14341
457	12090	14308
458	12107	14271
459	12160	14275
460	12184	14245
461	12203	14210
462	12222	14176
463	12241	14140
464	12294	14144
465	12316	14114
466	12336	14079
467	12377	14070
468	12398	14037
469	12429	14016
470	12454	13988
471	12484	13965
472	12504	13932
473	12527	13902
474	12551	13872
475	12578	13846
476	12597	13812
477	12616	13777
478	12633	13741
479	12675	13732
480	12698	13701
481	12721	13671
482	12737	13633
483	12755	13598
484	12781	13572
485	12805	13543
486	12822	13507
487	12843	13475
488	12867	13446
489	12895	13421
490	12920	13393
491	12945	13366
492	12968	13336
493	12986	13301
494	13006	13269
495	13032	13242
496	13061	13219
497	13078	13183
498	13099	13152
499	13129	13129
500	13157	13104
501	13176	13071
502	13195	13038
503	13215	13005
504	13240	12978
505	13270	12955
506	13295	12928
507	13318	12898
508	13335	12863
509	13364	12840
510	13393	12817
511	13412	12783
512	13436	12755
513	13450	12717
514	13485	12700
515	13509	12671
516	13527	12638
517	13550	12608
518	13575	12581
519	13607	12560
520	13634	12535
521	13653	12502
522	13673	12471
523	13691	12437
524	13708	12402
525	13729	12372
526	13757	12347
527	13782	12321
528	13801	12288
529	13824	12259
530	13849	12232
531	13871	12202
532	13902	12181
533	13933	12159
534	13967	12140
535	13986	12107
536	14003	12073
537	14021	12040
538	14047	12014
539	14071	11986
540	14095	11958
541	14111	11924
542	14131	11893
543	14168	11876
544	14186	11843
545	14209	11815
546	14227	11782
547	14264	11765
548	14284	11734
549	14311	11709
550	14334	11681
551	14359	11653
552	14381	11624
553	14398	11591
554	14423	11564
555	14457	11544
556	14475	11512
557	14497	11483
558	14517	11452
559	14534	11420
560	14570	11402
561	14596	11376
562	14618	11346
563	14638	11315
564	14665	11290
565	14682	11258
566	14703	11228
567	14734	11206
568	14762	11182
569	14785	11153
570	14886	11184
571	14970	11201
572	14992	11172
573	15078	11190
574	15102	11162
575	15158	11158
576	15238	11171
577	15286	11160
578	15322	11141
579	15349	11115
580	15403	11108
581	15447	11094
582	15472	11066
583	15558	11083
584	15579	11052
585	15602	11023
586	15616	10987
587	15635	10955
588	15664	10930
589	15686	10900
590	15704	10868
591	15724	10837
592	15742	10805
593	15766	10776
594	15786	10745
595	15810	10717
596	15834	10689
597	15858	10660
598	15876	10628
599	15898	10599
600	15918	10568
601	15937	10536
602	16008	10539
603	16157	10593
604	16221	10590
605	16292	10593
606	16338	10578
607	16361	10548
608	16396	10527
609	16421	10498
610	16446	10471
611	16468	10440
612	16486	10408
613	16503	10375
614	16538	10353
615	16559	10322
616	16585	10295
617	16604	10263
618	16624	10232
619	16649	10204
620	16671	10174
621	16702	10150
622	16721	10118
623	16748	10092
624	16771	10062
625	16932	10116
626	16992	10108
627	17063	10107
628	17117	10096
629	17150	10072
630	17181	10047
631	17225	10029
632	17254	10003
633	17304	9989
634	17333	9963
635	17358	9934
636	17388	9908
637	17429	9889
638	17456	9861
639	17491	9838
640	17581	9846
641	17667	9851
642	17760	9860
643	17791	9835
644	17817	9806
645	17832	9771
646	17857	9742
647	17887	9716
648	17910	9686
649	17943	9661
650	18064	9684
651	18147	9686
652	18171	9656
653	18202	9630
654	18218	9595
655	18234	9561
656	18258	9532
657	18306	9514
658	18372	9506
659	18481	9520
660	18525	9500
661	18624	9508
662	18644	9476
663	18666	9445
664	18703	9422
665	18721	9389
666	18742	9357
667	18760	9324
668	18779	9291
669	18797	9258
670	18816	9225
671	18847	9199
672	18864	9165
673	18880	9132
674	18896	9098
675	18908	9062
676	18940	9036
677	18973	9010
678	18997	8981
679	19015	8948
680	19035	8916
681	19079	8896
682	19184	8904
683	19256	8896
684	19347	8896
685	19397	8878
686	19447	8860
687	19485	8836
688	19513	8807
689	19541	8779
690	19575	8753
691	19627	8735
692	19687	8721
693	19736	8702
694	19778	8679
695	19833	8663
696	19935	8666
697	19982	8645
698	20050	8634
699	20106	8617
700	20197	8614
701	20268	8604
702	20357	8600
703	20431	8590
704	20475	8567
705	20508	8540
706	20568	8524
707	20593	8493
708	20629	8467
709	20679	8446
710	20703	8415
711	20726	8383
712	20755	8354
713	20773	8321
714	20799	8290
715	20825	8260
716	20848	8228
717	20864	8194
718	20884	8162
719	20902	8128
720	20938	8102
721	20960	8070
722	20976	8036
723	20999	8005
724	21024	7974
725	21082	7956
726	21110	7927
727	21146	7901
728	21163	7867
729	21185	7835
730	21210	7805
731	21236	7775
732	21254	7742
733	21280	7712
734	21303	7680
735	21338	7654
736	21356	7621
737	21380	7590
738	21397	7557
739	21435	7531
740	21455	7499
741	21478	7468
742	21496	7435
743	21516	7403
744	21547	7375
745	21576	7346
746	21596	7314
747	21617	7282
748	21646	7254
749	21666	7222
750	21693	7192
751	21716	7161
752	21744	7132
753	21764	7100
754	21785	7069
755	21801	7036
756	21823	7005
757	21855	6977
758	21877	6946
759	21895	6914
760	21913	6882
761	21941	6853
762	21958	6820
763	21983	6790
764	22008	6760
765	22037	6731
766	22062	6702
767	22086	6671
768	22136	6649
769	22156	6618
770	22175	6586
771	22192	6554
772	22213	6523
773	22246	6495
774	22263	6463
775	22292	6435
776	22319	6405
777	22341	6375
778	22361	6343
779	22385	6313
780	22402	6281
781	22438	6255
782	22459	6224
783	22482	6194
784	22501	6162
785	22520	6131
786	22555	6104
787	22582	6075
788	22604	6045
789	22631	6016
790	22654	5985
791	22674	5954
792	22689	5922
793	22705	5890
794	22748	5865
795	22766	5834
796	22785	5803
797	22803	5772
798	22822	5741
799	22848	5712
800	22880	5684
801	22902	5654
802	22925	5624
803	22948	5594
804	22968	5563
805	22984	5532
806	22999	5500
807	23043	5475
808	23063	5445
809	23081	5414
810	23109	5385
811	23134	5356
812	23160	5327
813	23190	5298
814	23208	5268
815	23227	5237
816	23246	5207
817	23268	5177
818	23283	5145
819	23303	5115
820	23336	5088
821	23354	5057
822	23373	5026
823	23395	4997
824	23414	4966
825	23435	4936
826	23465	4908
827	23487	4879
828	23512	4849
829	23535	4820
830	23560	4791
831	23576	4760
832	23593	4730
833	23628	4703
834	23649	4673
835	23669	4643
836	23695	4614
837	23718	4585
838	23746	4556
839	23780	4529
840	23800	4499
841	23825	4470
842	23843	4440
843	23862	4410
844	23878	4380
845	23901	4350
846	23942	4324
847	23965	4295
848	23981	4265
849	24000	4235
850	24022	4205
851	24055	4178
852	24091	4151
853	24110	4121
854	24138	4093
855	24157	4063
856	24174	4033
857	24204	4005
858	24231	3977
859	24253	3948
860	24272	3918
861	24292	3888
862	24309	3859
863	24338	3830
864	24368	3803
865	24387	3773
866	24405	3743
867	24432	3715
868	24454	3686
869	24470	3656
870	24500	3628
871	24531	3600
872	24549	3571
873	24568	3541
874	24588	3512
875	24603	3482
876	24633	3454
877	24665	3427
878	24684	3397
879	24700	3368
880	24727	3340
881	24745	3310
882	24761	3281
883	24782	3252
884	24812	3224
885	24835	3195
886	24858	3166
887	24875	3137
888	24894	3108
889	24912	3079
890	24943	3051
891	24965	3022
892	24989	2994
893	25012	2965
894	25032	2936
895	25053	2908
896	25083	2880
897	25115	2852
898	25143	2824
899	25163	2795
900	25184	2767
901	25203	2738
902	25226	2709
903	25263	2682
904	25285	2654
905	25305	2625
906	25334	2597
907	25351	2568
908	25373	2540
909	25403	2512
910	25429	2484
911	25450	2455
912	25468	2426
913	25487	2398
914	25520	2370
915	25551	2343
916	25571	2314
917	25588	2285
918	25604	2256
919	25641	2229
920	25659	2201
921	25682	2172
922	25700	2144
923	25729	2116
924	25754	2088
925	25781	2060
926	25801	2031
927	25830	2004
928	25852	1975
929	25878	1947
930	25910	1920
931	25931	1892
932	25953	1863
933	25976	1835
934	25993	1807
935	26075	1782
936	26095	1754
937	26121	1726
938	26140	1698
939	26160	1669
940	26189	1642
941	26214	1614
942	26240	1586
943	26271	1558
944	26298	1530
945	26338	1503
946	26356	1475
947	26375	1446
948	26393	1418
949	26438	1391
950	26457	1363
951	26475	1334
952	26492	1306
953	26535	1279
954	26556	1251
955	26577	1223
956	26595	1194
957	26619	1167
958	26657	1139
959	26677	1111
960	26693	1083
961	26718	1055
962	26739	1027
963	26768	999
964	26793	971
965	26835	944
966	26855	916
967	26874	888
968	26892	860
969	26932	832
970	26953	804
971	26973	777
972	26993	749
973	27015	721
974	27050	693
975	27071	665
976	27094	637
977	27115	609
978	27137	582
979	27167	554
980	27202	526
981	27227	499
982	27246	471
983	27299	443
984	27331	416
985	27350	388
986	27373	360
987	27390	332
988	27445	305
989	27463	277
990	27480	249
991	27501	221
992	27561	194
993	27664	166
994	27686	139
995	27699	111
996	27723	83
997	27753	55
998	27777	27
999	27796	0
