iter	RMSE
143	116.4321335
144	116.3993456
145	116.3740276
146	116.3319168
147	116.3109866
148	116.2915433
149	116.2669733
150	116.2503447
151	116.2243105
152	116.1933868
153	116.1673311
154	116.1487408
155	116.1284433
156	116.1189069
157	116.0948062
158	116.0775019
159	116.0575116
160	116.0439553
161	116.0248387
162	116.008604
163	115.9811803
164	115.9526799
165	115.9351765
166	115.8686938
167	115.8465328
168	115.8280207
169	115.8088533
170	115.7789191
171	115.723017
172	115.6962773
173	115.6489312
174	115.6286431
175	115.6044049
176	115.588639
177	115.5649489
178	115.5570487
179	115.5313786
180	115.5149389
181	115.4962751
182	115.4614212
183	115.4375777
184	115.3948569
185	115.37523
186	115.3528742
187	115.3388127
188	115.3245984
189	115.295973
190	115.276923
191	115.2575356
192	115.236367
193	115.20528
194	115.1809124
195	115.1660194
196	115.1372659
197	115.1260468
198	115.1135125
199	115.0941162
200	115.0658779
201	115.0489374
202	115.0321335
203	115.0251998
204	115.0068066
205	114.9857608
206	114.9654483
207	114.9488436
208	114.934911
209	114.9286649
210	114.9164977
211	114.8898733
212	114.8680047
213	114.839599
214	114.833583
215	114.7759091
216	114.7272029
217	114.7036247
218	114.6944482
219	114.6821245
220	114.6585607
221	114.6439242
222	114.6052398
223	114.5838361
224	114.5338884
225	114.5219092
226	114.4750923
227	114.4654798
228	114.4440201
229	114.4296786
230	114.4217463
231	114.4093596
232	114.3790423
233	114.3340834
234	114.3255152
235	114.3206035
236	114.315991
237	114.2842106
238	114.2695963
239	114.252062
240	114.2136492
241	114.1886958
242	114.1742711
243	114.1623937
244	114.1498624
245	114.1395995
246	114.1301766
247	114.1209259
248	114.1096792
249	114.0983114
250	114.0899553
251	114.0675806
252	114.0529431
253	114.0462751
254	114.0390494
255	114.0250626
256	114.017544
257	113.9966011
258	113.9644251
259	113.9466262
260	113.9270646
261	113.9213684
262	113.898973
263	113.8909001
264	113.8810033
265	113.8563356
266	113.8497691
267	113.8356415
268	113.8116416
269	113.7937247
270	113.7869026
271	113.7385335
272	113.7158756
273	113.7064268
274	113.6898129
275	113.6847228
276	113.6819082
277	113.6730241
278	113.6473072
279	113.6396707
280	113.6302671
281	113.6254508
282	113.6223797
283	113.6059297
284	113.5930504
285	113.5816099
286	113.548308
287	113.5323439
288	113.4956053
289	113.4706431
290	113.44654
291	113.4197519
292	113.4111785
293	113.3822929
294	113.3738144
295	113.3663677
296	113.3602278
297	113.3467525
298	113.3303952
299	113.3230925
300	113.319054
301	113.3045224
302	113.2977568
303	113.2664064
304	113.2508889
305	113.2330287
306	113.213069
307	113.2017723
308	113.1868301
309	113.178435
310	113.1588656
311	113.1317233
312	113.1105947
313	113.0884552
314	113.0740909
315	113.0465116
316	113.0388861
317	113.0265276
318	113.0193393
319	113.0140358
320	112.9909006
321	112.9551703
322	112.9386948
323	112.9316561
324	112.9204137
325	112.9033863
326	112.8986578
327	112.8706735
328	112.8409715
329	112.8297073
330	112.8215469
331	112.8031751
332	112.7978895
333	112.7596232
334	112.7381673
335	112.7341467
336	112.7229992
337	112.702458
338	112.6893385
339	112.6716415
340	112.6636656
341	112.6505301
342	112.6223607
343	112.616561
344	112.6066585
345	112.5989805
346	112.5856058
347	112.546184
348	112.5309085
349	112.5243373
350	112.5154511
351	112.5009971
352	112.4816895
353	112.4607546
354	112.4519016
355	112.4430453
356	112.426781
357	112.4060601
358	112.3956473
359	112.3736595
360	112.3665965
361	112.3400965
362	112.3324319
363	112.3150047
364	112.3062021
365	112.303241
366	112.294374
367	112.2854851
368	112.2751736
369	112.2695277
370	112.2615142
371	112.2586735
372	112.2338986
373	112.2215116
374	112.2047734
375	112.196773
376	112.1871557
377	112.1820757
378	112.1593045
379	112.1537179
380	112.1253053
381	112.1086294
382	112.0867909
383	112.0664677
384	112.0512364
385	112.0449399
386	112.036451
387	112.0279962
388	112.0104741
389	111.9984408
390	111.9803893
391	111.9647057
392	111.9573002
393	111.950841
394	111.938827
395	111.9291622
396	111.9049704
397	111.8756331
398	111.8657793
399	111.8476868
400	111.8425309
401	111.819615
402	111.8147096
403	111.807729
404	111.7902266
405	111.7724802
406	111.757885
407	111.7450518
408	111.7301167
409	111.7253885
410	111.7206811
411	111.6995633
412	111.6949368
413	111.6729998
414	111.6594793
415	111.6334823
416	111.6218874
417	111.6143218
418	111.6074966
419	111.6006005
420	111.5915037
421	111.5662619
422	111.5447184
423	111.5288415
424	111.5158198
425	111.504004
426	111.4992505
427	111.4933158
428	111.4826288
429	111.4704353
430	111.4529053
431	111.4369028
432	111.4313365
433	111.4277707
434	111.4220025
435	111.4118929
436	111.3932022
437	111.3799745
438	111.368531
439	111.3651117
440	111.3608477
441	111.3418002
442	111.3301474
443	111.3181995
444	111.3133652
445	111.3074382
446	111.3037986
447	111.2911425
448	111.2846413
449	111.2700967
450	111.256445
451	111.2394438
452	111.2302409
453	111.22513
454	111.2160324
455	111.2078354
456	111.203355
457	111.2011214
458	111.1931599
459	111.176143
460	111.1678066
461	111.1646179
462	111.1597084
463	111.1458312
464	111.1368554
465	111.131953
466	111.1114585
467	111.0987415
468	111.0914412
469	111.0787248
470	111.0677907
471	111.0502673
472	111.0383707
473	111.0247866
474	110.9999728
475	110.9909995
476	110.985239
477	110.9747862
478	110.964204
479	110.9550387
480	110.9422114
481	110.9357558
482	110.9316855
483	110.898705
484	110.8962926
485	110.8908986
486	110.8884321
487	110.877506
488	110.8754326
489	110.859954
490	110.8523052
491	110.8479922
492	110.8430645
493	110.8384192
494	110.825161
495	110.819918
496	110.8158745
497	110.8087014
498	110.8045104
499	110.7934183
500	110.782633
501	110.7770288
502	110.764702
503	110.7566984
504	110.7541117
505	110.7430752
506	110.7273028
507	110.7202943
508	110.7123356
509	110.7031557
510	110.6936753
511	110.683267
512	110.6733986
513	110.6638278
514	110.6509193
515	110.6394413
516	110.6265387
517	110.6193361
518	110.6151591
519	110.6104901
520	110.6077023
521	110.5956393
522	110.5798153
523	110.5676919
524	110.560364
525	110.5449286
526	110.5398573
527	110.5353546
528	110.5296882
529	110.5096286
530	110.4816475
531	110.4788903
532	110.4711101
533	110.4649826
534	110.4484228
535	110.4448679
536	110.4408175
537	110.4256178
538	110.4166708
539	110.4110378
540	110.4073871
541	110.4060883
542	110.3966094
543	110.3913827
544	110.3848458
545	110.3766269
546	110.3631287
547	110.3497782
548	110.3302171
549	110.3232159
550	110.3129308
551	110.3058787
552	110.3014101
553	110.2761178
554	110.2695254
555	110.2633812
556	110.2581158
557	110.2453866
558	110.2310638
559	110.2211697
560	110.2087136
561	110.2036941
562	110.1839554
563	110.1767726
564	110.1728439
565	110.1694223
566	110.1643503
567	110.1556639
568	110.1512471
569	110.1407132
570	110.1379177
571	110.1300619
572	110.1234756
573	110.1155247
574	110.1104953
575	110.1053537
576	110.1013439
577	110.0947209
578	110.0859468
579	110.0839135
580	110.0795345
581	110.076706
582	110.0562997
583	110.0515173
584	110.0447523
585	110.0347359
586	110.022884
587	110.0192477
588	110.0153827
589	110.0127938
590	110.0046317
591	109.9854451
592	109.981717
593	109.9735923
594	109.965483
595	109.9605321
596	109.9566025
597	109.9443907
598	109.9387709
599	109.9298975
600	109.9268991
601	109.9245379
602	109.917369
603	109.9140767
604	109.9096411
605	109.9083031
606	109.8994468
607	109.8869589
608	109.8792899
609	109.868617
610	109.8622203
611	109.8517765
612	109.8479427
613	109.8367762
614	109.8286891
615	109.8246222
616	109.8111328
617	109.8069343
618	109.8025854
619	109.8016046
620	109.8005524
621	109.784572
622	109.7750468
623	109.771298
624	109.7693066
625	109.7637397
626	109.7597795
627	109.7559386
628	109.7454801
629	109.7445678
630	109.73164
631	109.7285548
632	109.7125655
633	109.7044012
634	109.7009155
635	109.6892112
636	109.6762761
637	109.6738092
638	109.661865
639	109.6562176
640	109.6497145
641	109.6485012
642	109.644644
643	109.6412665
644	109.6392736
645	109.6310806
646	109.6156931
647	109.6026444
648	109.5992388
649	109.5873358
650	109.5765702
651	109.5740018
652	109.5665467
653	109.5646123
654	109.5555585
655	109.5550171
656	109.5521201
657	109.5381314
658	109.5255715
659	109.5156159
660	109.5075531
661	109.4993675
662	109.4938133
663	109.4810623
664	109.4780457
665	109.4643085
666	109.4556051
667	109.446489
668	109.4415821
669	109.4290097
670	109.4178808
671	109.4082428
672	109.4025858
673	109.3957895
674	109.3892104
675	109.3878496
676	109.3869454
677	109.3805621
678	109.3700929
679	109.3649874
680	109.3632345
681	109.3609715
682	109.3526154
683	109.3493777
684	109.3440319
685	109.3394682
686	109.3289225
687	109.3240005
688	109.3186333
689	109.3129124
690	109.3020852
691	109.2999879
692	109.2904959
693	109.2876616
694	109.2851462
695	109.272305
696	109.2616091
697	109.2555079
698	109.244753
699	109.2377083
700	109.2314705
701	109.2267557
702	109.2262903
703	109.2158191
704	109.1999721
705	109.1931492
706	109.1900865
707	109.1893185
708	109.179894
709	109.1696509
710	109.1661663
711	109.1581669
712	109.1434169
713	109.1378338
714	109.1352509
715	109.1282875
716	109.123312
717	109.1191721
718	109.1127051
719	109.1100606
720	109.0975371
721	109.0797389
722	109.068752
723	109.0647092
724	109.0536296
725	109.0433507
726	109.0394234
727	109.0292291
728	109.0263137
729	109.0156527
730	109.0045993
731	109.0001384
732	108.9983684
733	108.9865683
734	108.9856265
735	108.9754145
736	108.9660692
737	108.9592281
738	108.952015
739	108.9390342
740	108.9363892
741	108.9275583
742	108.9208877
743	108.9144163
744	108.9086225
745	108.9060781
746	108.8951339
747	108.8891716
748	108.8820534
749	108.8766441
750	108.8688193
751	108.8613117
752	108.8509264
753	108.8451034
754	108.8380643
755	108.8313549
756	108.8267121
757	108.8152772
758	108.7952436
759	108.7885019
760	108.785666
761	108.7818918
762	108.7738787
763	108.7640603
764	108.7601682
765	108.756902
766	108.7519486
767	108.7386585
768	108.7338943
769	108.7315051
770	108.7282804
771	108.7239123
772	108.7166376
773	108.7072275
774	108.7021036
775	108.6995277
776	108.6935139
777	108.6893637
778	108.6834524
779	108.673268
780	108.6694452
781	108.6620443
782	108.6583531
783	108.6512668
784	108.6381728
785	108.6361257
786	108.6240887
787	108.6212395
788	108.617222
789	108.6122157
790	108.6046583
791	108.6011347
792	108.6003879
793	108.5924008
794	108.5892023
795	108.5882056
796	108.5764183
797	108.5742174
798	108.5704091
799	108.5659342
800	108.5489092
801	108.5477706
802	108.5442579
803	108.5297986
804	108.5267254
805	108.5203042
806	108.5180364
807	108.5047045
808	108.4956372
809	108.4890378
810	108.4884594
811	108.4878901
812	108.480783
813	108.4752936
814	108.4677337
815	108.4671929
816	108.4643861
817	108.4610453
818	108.4481773
819	108.4452963
820	108.4427489
821	108.4402591
822	108.4287629
823	108.4253303
824	108.4164349
825	108.4117036
826	108.4104712
827	108.4018509
828	108.3942315
829	108.3817723
830	108.3745066
831	108.3658114
832	108.3645592
833	108.3595572
834	108.3552342
835	108.3539642
836	108.3434052
837	108.3401842
838	108.3327282
839	108.3245584
840	108.3081242
841	108.3058726
842	108.2955435
843	108.2861416
844	108.2735806
845	108.2710113
846	108.2597721
847	108.2512023
848	108.2479222
849	108.2426332
850	108.2410071
851	108.2263022
852	108.201878
853	108.1973655
854	108.1880146
855	108.1800918
856	108.1732857
857	108.165769
858	108.1589336
859	108.1471767
860	108.1430263
861	108.135119
862	108.1185042
863	108.1143119
864	108.1051947
865	108.0993414
866	108.093981
867	108.0855746
868	108.0829252
869	108.0686977
870	108.0599157
871	108.0451137
872	108.0394723
873	108.0372491
874	108.030694
875	108.0302758
876	108.019758
877	108.011912
878	108.0062912
879	108.004727
880	107.9985108
881	107.9928947
882	107.9923083
883	107.9836243
884	107.9754803
885	107.9713419
886	107.9625307
887	107.9583596
888	107.9560591
889	107.9509318
890	107.9448735
891	107.9400951
892	107.9316172
893	107.9262434
894	107.9195319
895	107.9157724
896	107.9101842
897	107.902792
898	107.8950226
899	107.8907015
900	107.8834184
901	107.8759971
902	107.8691018
903	107.858652
904	107.8521492
905	107.8441039
906	107.8389853
907	107.8359096
908	107.8348273
909	107.8311093
910	107.8240926
911	107.8188485
912	107.8126121
913	107.8057199
914	107.7963603
915	107.7926658
916	107.7871506
917	107.7819958
918	107.776943
919	107.7747088
920	107.7641728
921	107.7585473
922	107.7516634
923	107.7384611
924	107.7323967
925	107.7302457
926	107.7220751
927	107.7188367
928	107.7012874
929	107.6948457
930	107.6909026
931	107.686897
932	107.6739617
933	107.6578529
934	107.6529021
935	107.6475448
936	107.6423125
937	107.6336855
938	107.6305592
939	107.6269391
940	107.6201628
941	107.6143146
942	107.6107572
943	107.6064299
944	107.6002448
945	107.5954628
946	107.5915215
947	107.5850114
948	107.5800271
949	107.5737241
950	107.5702273
951	107.5653938
952	107.5581897
953	107.5487613
954	107.5334979
955	107.5266859
956	107.5176201
957	107.5153857
958	107.5090644
959	107.4954957
960	107.4907286
961	107.4811297
962	107.477704
963	107.4738493
964	107.468009
965	107.4631948
966	107.4569333
967	107.4458716
968	107.4383871
969	107.4358166
970	107.422834
971	107.4147605
972	107.4109901
973	107.4026516
974	107.4007407
975	107.399609
976	107.3897798
977	107.389633
978	107.3835469
979	107.3760882
980	107.3660384
981	107.3635886
982	107.3568252
983	107.3522853
984	107.3503652
985	107.3430803
986	107.3429228
987	107.338883
988	107.3300714
989	107.3263899
990	107.3077397
991	107.2996337
992	107.2949978
993	107.291812
994	107.2866352
995	107.2863233
996	107.2788336
997	107.2755229
998	107.273276
999	107.266495
